Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
DBO|-32.25,148.62|2017-12-11T04:22:21Z|Dubbo|Clear|clear sky|+20.0|+20.0|+20.0|1018.0|60|5.1|100.0|1512925200|2168305|1900-01-01T00:00:00Z|0
BHS|-33.42,149.58|2017-12-11T04:22:21Z|Bathurst|Clear|clear sky|+10.83|+10.83|+10.83|938.69|88|0.97|37.0|1512926502|2176632|1900-01-01T00:00:00Z|0
HBA|-42.88,147.33|2017-12-11T04:22:21Z|Hobart|Clouds|broken clouds|+15.0|+15.0|+15.0|1016.0|62|4.6|340.0|1512925200|2163355|1900-01-01T00:00:00Z|0
GEX|-38.15,144.36|2017-12-11T04:22:21Z|Geelong|Clear|clear sky|+14.31|+13.0|+15.0|1021.0|77|2.1|270.0|1512925200|2165798|1900-01-01T00:00:00Z|0
DPO|-41.17,146.35|2017-12-11T04:22:21Z|Devonport|Clouds|few clouds|+8.38|+8.38|+8.38|993.09|89|2.02|253.5|1512926506|2168943|1900-01-01T00:00:00Z|0
OOL|-28.0,153.43|2017-12-11T04:22:21Z|Gold Coast|Clouds|broken clouds|+21.0|+21.0|+21.0|1017.0|77|4.6|200.0|1512925200|2165087|1900-01-01T00:00:00Z|0
MGB|-37.83,140.77|2017-12-11T04:22:21Z|Mount Gambier|Clear|clear sky|+9.48|+9.48|+9.48|1027.37|90|1.02|183.0|1512926527|2156643|1900-01-01T00:00:00Z|0
ABX|-36.08,146.92|2017-12-11T04:22:21Z|Albury|Clear|clear sky|+14.28|+13.0|+16.0|1017.0|77|0.77|214.5|1512925200|2178174|1900-01-01T00:00:00Z|0
WYA|-33.03,137.58|2017-12-11T04:22:21Z|Whyalla|Clear|clear sky|+18.0|+18.0|+18.0|1019.0|82|3.1|200.0|1512925200|2058430|1900-01-01T00:00:00Z|0
ONG|-38.22,145.03|2017-12-11T04:22:21Z|Mornington|Clouds|scattered clouds|+14.32|+13.0|+15.0|1021.0|77|2.1|270.0|1512925200|2156878|1900-01-01T00:00:00Z|0
ASP|-23.7,133.88|2017-12-11T04:22:21Z|Alice Springs|Clear|clear sky|+17.0|+17.0|+17.0|1016.0|23|2.6|320.0|1512925200|2077895|1900-01-01T00:00:00Z|0
SHQ|-27.97,153.4|2017-12-11T04:22:21Z|Southport|Clouds|broken clouds|+21.0|+21.0|+21.0|1017.0|77|4.6|200.0|1512925200|2148928|1900-01-01T00:00:00Z|0
ROK|-23.38,150.5|2017-12-11T04:22:21Z|Rockhampton|Clouds|scattered clouds|+22.0|+22.0|+22.0|1014.0|83|3.1|120.0|1512925200|2151437|1900-01-01T00:00:00Z|0
DRW|-12.46,130.84|2017-12-11T04:22:21Z|Darwin|Clear|clear sky|+28.0|+28.0|+28.0|1009.0|74|3.1|340.0|1512925200|2073124|1900-01-01T00:00:00Z|0
CFS|-30.3,153.13|2017-12-11T04:22:21Z|Coffs Harbour|Clouds|broken clouds|+17.0|+17.0|+17.0|1019.0|93|2.1|280.0|1512925200|2171085|1900-01-01T00:00:00Z|0
GET|-28.77,114.6|2017-12-11T04:22:21Z|Geraldton|Clear|clear sky|+24.0|+24.0|+24.0|1007.0|73|4.1|180.0|1512925200|2070998|1900-01-01T00:00:00Z|0
MEL|-37.81,144.96|2017-12-11T04:22:21Z|Melbourne|Clouds|broken clouds|+14.34|+13.0|+15.0|1020.0|87|3.1|220.0|1512925200|2158177|1900-01-01T00:00:00Z|0
TGN|-38.18,146.53|2017-12-11T04:22:21Z|Traralgon|Clouds|scattered clouds|+11.26|+11.26|+11.26|1016.59|99|1.32|276.5|1512926518|2146108|1900-01-01T00:00:00Z|0
CES|-32.83,151.35|2017-12-11T04:22:21Z|Cessnock|Clear|clear sky|+16.0|+16.0|+16.0|1018.0|87|0.92|38.0|1512925200|2171845|1900-01-01T00:00:00Z|0
TRO|-31.9,152.47|2017-12-11T04:22:21Z|Taree|Clear|clear sky|+14.0|+14.0|+14.0|1019.0|93|0.5|280.0|1512925200|2147381|1900-01-01T00:00:00Z|0
TSV|-19.25,146.8|2017-12-11T04:22:21Z|Townsville|Clouds|broken clouds|+26.0|+26.0|+26.0|1012.0|69|3.6|140.0|1512925200|2146142|1900-01-01T00:00:00Z|0
BHQ|-31.95,141.43|2017-12-11T04:22:21Z|Broken Hill|Clear|clear sky|+15.88|+15.88|+15.88|1001.27|66|3.42|167.0|1512926528|2173911|1900-01-01T00:00:00Z|0
NTL|-32.93,151.78|2017-12-11T04:22:21Z|Newcastle|Clear|clear sky|+16.0|+16.0|+16.0|1018.0|87|2.42|7.0|1512925200|2155472|1900-01-01T00:00:00Z|0
SHT|-36.38,145.4|2017-12-11T04:22:21Z|Shepparton|Clear|clear sky|+14.38|+14.38|+14.38|1016.11|80|4.17|183.0|1512926348|2149645|1900-01-01T00:00:00Z|0
GFF|-34.28,146.03|2017-12-11T04:22:21Z|Griffith|Clear|clear sky|+15.01|+15.01|+15.01|1016.35|75|1.57|203.5|1512926504|2164422|1900-01-01T00:00:00Z|0
LST|-41.45,147.17|2017-12-11T04:22:21Z|Launceston|Clouds|few clouds|+10.0|+10.0|+10.0|1016.0|87|2.1|10.0|1512925200|2160517|1900-01-01T00:00:00Z|0
WGA|-35.12,147.37|2017-12-11T04:22:21Z|Wagga Wagga|Clear|clear sky|+16.0|+16.0|+16.0|1017.0|72|1.27|202.5|1512925200|2145110|1900-01-01T00:00:00Z|0
CUD|-26.8,153.13|2017-12-11T04:22:21Z|Caloundra|Clear|clear sky|+19.0|+19.0|+19.0|1016.0|82|3.6|200.0|1512925200|2172710|1900-01-01T00:00:00Z|0
MBH|-25.53,152.7|2017-12-11T04:22:21Z|Maryborough|Rain|light rain|+19.83|+19.83|+19.83|1009.14|87|1.62|144.0|1512926522|2158562|1900-01-01T00:00:00Z|0
WMB|-38.38,142.48|2017-12-11T04:22:21Z|Warrnambool|Clouds|broken clouds|+14.16|+14.16|+14.16|1033.37|95|2.42|237.5|1512926525|2144528|1900-01-01T00:00:00Z|0
NOA|-34.88,150.6|2017-12-11T03:58:43Z|Nowra|Clear|clear sky|+15.0|+15.0|+15.0|1019.0|93|1.32|330.5|1512921600|2154787|1900-01-01T00:00:00Z|0
TWB|-27.55,151.97|2017-12-11T03:58:43Z|Toowoomba|Clear|clear sky|+17.0|+17.0|+17.0|1018.0|82|4.1|110.0|1512921600|2146268|1900-01-01T00:00:00Z|0
MKY|-21.15,149.2|2017-12-11T03:58:43Z|Mackay|Clouds|scattered clouds|+26.0|+26.0|+26.0|1013.0|74|4.6|90.0|1512921600|2159220|1900-01-01T00:00:00Z|0
