Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
ISA|-20.73,139.5|2017-12-11T00:48:03Z|Mount Isa|Clear|clear sky|+30.0|+30.0|+30.0|1012.0|13|2.1|180.0|1512912600|2065594|1900-01-01T00:00:00Z|0
BUY|-33.33,115.63|2017-12-10T14:59:49Z|Bunbury|Clear|clear sky|+34.45|+34.45|+34.45|1016.23|30|3.92|298.0|1512877827|2075432|1900-01-01T00:00:00Z|0
ROK|-23.38,150.5|2017-12-11T03:58:43Z|Rockhampton|Clear|clear sky|+23.0|+23.0|+23.0|1014.0|83|3.1|120.0|1512921600|2151437|1900-01-01T00:00:00Z|0
OOL|-28.0,153.43|2017-12-11T02:47:21Z|Gold Coast|Clouds|scattered clouds|+21.0|+21.0|+21.0|1018.0|77|3.6|200.0|1512918000|2165087|1900-01-01T00:00:00Z|0
BHS|-33.42,149.58|2017-12-11T02:47:21Z|Bathurst|Clouds|few clouds|+12.39|+12.39|+12.39|938.95|90|0.92|106.5|1512920811|2176632|1900-01-01T00:00:00Z|0
ISA|-20.73,139.5|2017-12-10T19:35:44Z|Mount Isa|Clear|clear sky|+39.0|+39.0|+39.0|1009.0|10|1.5|160.0|1512892800|2065594|1900-01-01T00:00:00Z|0
LSY|-28.81,153.28|2017-12-11T00:48:03Z|Lismore|Rain|light rain|+18.74|+18.74|+18.74|1006.63|84|1.67|175.0|1512913667|2160063|1900-01-01T00:00:00Z|0
LST|-41.45,147.17|2017-12-11T03:58:43Z|Launceston|Clouds|few clouds|+10.0|+10.0|+10.0|1016.0|81|2.1|330.0|1512923400|2160517|1900-01-01T00:00:00Z|0
BNE|-27.47,153.03|2017-12-10T18:57:36Z|Brisbane|Clouds|scattered clouds|+25.0|+25.0|+25.0|1017.0|57|6.7|110.0|1512889200|2174003|1900-01-01T00:00:00Z|0
PER|-31.93,115.83|2017-12-10T15:54:36Z|Perth|Clear|clear sky|+35.67|+35.0|+36.0|1010.0|23|2.1|190.0|1512880200|2063523|1900-01-01T00:00:00Z|0
NTL|-32.93,151.78|2017-12-11T02:47:21Z|Newcastle|Clear|clear sky|+17.0|+17.0|+17.0|1019.0|82|2.1|110.0|1512918000|2155472|1900-01-01T00:00:00Z|0
NTL|-32.93,151.78|2017-12-10T15:54:36Z|Newcastle|Clear|clear sky|+25.0|+25.0|+25.0|1020.0|50|7.2|130.0|1512880200|2155472|1900-01-01T00:00:00Z|0
LST|-41.45,147.17|2017-12-10T15:54:36Z|Launceston|Clear|clear sky|+23.0|+23.0|+23.0|1015.0|53|10.8|350.0|1512880200|2160517|1900-01-01T00:00:00Z|0
ECH|-36.13,144.75|2017-12-11T00:48:03Z|Echuca|Clear|clear sky|+16.12|+16.12|+16.12|1021.71|69|3.47|174.5|1512913677|2167817|1900-01-01T00:00:00Z|0
CFS|-30.3,153.13|2017-12-11T01:54:21Z|Coffs Harbour|Clouds|scattered clouds|+21.0|+21.0|+21.0|1020.0|73|3.1|140.0|1512914400|2171085|1900-01-01T00:00:00Z|0
TMW|-31.1,150.93|2017-12-10T15:54:36Z|Tamworth|Clear|clear sky|+30.0|+30.0|+30.0|1018.0|22|4.6|80.0|1512880200|2147497|1900-01-01T00:00:00Z|0
MBH|-25.53,152.7|2017-12-10T18:57:36Z|Maryborough|Clouds|few clouds|+23.48|+23.48|+23.48|1010.66|62|2.58|126.5|1512892396|2158562|1900-01-01T00:00:00Z|0
BWT|-41.07,145.92|2017-12-10T14:59:49Z|Burnie|Clouds|few clouds|+17.3|+17.3|+17.3|1031.06|95|9.12|267.5|1512877843|2173125|1900-01-01T00:00:00Z|0
BWT|-41.07,145.92|2017-12-11T04:10:51Z|Burnie|Clouds|few clouds|+15.13|+15.13|+15.13|1030.29|100|7.42|245.0|1512925829|2173125|1900-01-01T00:00:00Z|0
ARM|-30.52,151.65|2017-12-10T18:57:36Z|Armidale|Clear|clear sky|+15.78|+15.78|+15.78|930.25|75|2.58|98.5|1512892384|2177671|1900-01-01T00:00:00Z|0
ASP|-23.7,133.88|2017-12-10T18:57:36Z|Alice Springs|Clear|clear sky|+34.0|+34.0|+34.0|1015.0|5|4.6|150.0|1512889200|2077895|1900-01-01T00:00:00Z|0
FOT|-32.17,152.52|2017-12-10T18:57:36Z|Forster|Clear|clear sky|+23.0|+23.0|+23.0|1020.0|60|5.1|110.0|1512889200|2166309|1900-01-01T00:00:00Z|0
ISA|-20.73,139.5|2017-12-10T15:54:36Z|Mount Isa|Clouds|scattered clouds|+39.0|+39.0|+39.0|1011.0|11|2.6|70.0|1512878400|2065594|1900-01-01T00:00:00Z|0
TMW|-31.1,150.93|2017-12-11T01:54:21Z|Tamworth|Clear|clear sky|+19.0|+19.0|+19.0|1019.0|63|3.6|100.0|1512916200|2147497|1900-01-01T00:00:00Z|0
ROK|-23.38,150.5|2017-12-11T00:48:03Z|Rockhampton|Clouds|few clouds|+24.0|+24.0|+24.0|1016.0|78|4.6|110.0|1512912600|2151437|1900-01-01T00:00:00Z|0
OOL|-28.0,153.43|2017-12-11T00:48:03Z|Gold Coast|Clouds|scattered clouds|+21.0|+21.0|+21.0|1019.0|77|3.6|190.0|1512912600|2165087|1900-01-01T00:00:00Z|0
WGA|-35.12,147.37|2017-12-11T02:47:21Z|Wagga Wagga|Clear|clear sky|+18.0|+18.0|+18.0|1018.0|68|0.5|70.0|1512918000|2145110|1900-01-01T00:00:00Z|0
MEL|-37.81,144.96|2017-12-11T01:54:21Z|Melbourne|Clouds|overcast clouds|+15.67|+15.0|+16.0|1022.0|82|4.6|180.0|1512914400|2158177|1900-01-01T00:00:00Z|0
MBH|-25.53,152.7|2017-12-10T14:59:49Z|Maryborough|Clear|clear sky|+27.58|+27.58|+27.58|1009.75|58|2.42|118.5|1512877845|2158562|1900-01-01T00:00:00Z|0
LSY|-28.81,153.28|2017-12-10T18:57:36Z|Lismore|Rain|light rain|+20.03|+20.03|+20.03|1007.91|80|2.88|160.5|1512892357|2160063|1900-01-01T00:00:00Z|0
WOL|-34.43,150.88|2017-12-11T00:48:03Z|Wollongong|Clear|clear sky|+18.1|+16.0|+21.0|1020.0|73|3.1|350.0|1512912600|2171507|1900-01-01T00:00:00Z|0
PER|-31.93,115.83|2017-12-11T00:48:03Z|Perth|Clear|clear sky|+25.67|+25.0|+26.0|1011.0|50|3.6|210.0|1512912600|2063523|1900-01-01T00:00:00Z|0
PQQ|-31.43,152.92|2017-12-10T18:57:36Z|Port Macquarie|Clear|clear sky|+23.0|+23.0|+23.0|1020.0|60|5.1|110.0|1512889200|2152659|1900-01-01T00:00:00Z|0
CFS|-30.3,153.13|2017-12-11T03:58:43Z|Coffs Harbour|Clouds|broken clouds|+18.0|+18.0|+18.0|1019.0|88|1.22|210.5|1512921600|2171085|1900-01-01T00:00:00Z|0
SHT|-36.38,145.4|2017-12-10T19:35:44Z|Shepparton|Clear|clear sky|+23.24|+23.24|+23.24|1015.9|63|1.66|253.5|1512894819|2149645|1900-01-01T00:00:00Z|0
OOL|-28.0,153.43|2017-12-10T19:35:44Z|Gold Coast|Clouds|overcast clouds|+23.0|+23.0|+23.0|1018.0|69|7.2|150.0|1512892800|2165087|1900-01-01T00:00:00Z|0
BHQ|-31.95,141.43|2017-12-10T14:59:49Z|Broken Hill|Clear|clear sky|+27.98|+27.98|+27.98|1003.67|43|4.02|153.5|1512877851|2173911|1900-01-01T00:00:00Z|0
NTL|-32.93,151.78|2017-12-11T01:54:21Z|Newcastle|Clear|clear sky|+19.0|+19.0|+19.0|1019.0|82|3.1|80.0|1512916200|2155472|1900-01-01T00:00:00Z|0
CES|-32.83,151.35|2017-12-11T02:47:21Z|Cessnock|Clear|clear sky|+17.0|+17.0|+17.0|1019.0|82|2.1|110.0|1512918000|2171845|1900-01-01T00:00:00Z|0
MQL|-34.2,142.15|2017-12-11T02:47:21Z|Mildura|Clear|clear sky|+16.97|+16.97|+16.97|1025.76|60|3.07|198.0|1512920822|2157698|1900-01-01T00:00:00Z|0
BNE|-27.47,153.03|2017-12-10T19:35:44Z|Brisbane|Clouds|broken clouds|+24.53|+24.0|+25.0|1017.0|60|6.2|130.0|1512892800|2174003|1900-01-01T00:00:00Z|0
