Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
ONG|-38.22,145.03|2017-12-10T17:43:25Z|Mornington|Clear|clear sky|+22.01|+21.0|+23.0|1021.0|64|6.7|170.0|1512885600|2156878|1900-01-01T00:00:00Z|0
ASP|-23.7,133.88|2017-12-10T17:43:25Z|Alice Springs|Clear|clear sky|+34.0|+34.0|+34.0|1016.0|6|6.2|160.0|1512885600|2077895|1900-01-01T00:00:00Z|0
SHQ|-27.97,153.4|2017-12-10T17:43:25Z|Southport|Clouds|broken clouds|+25.0|+25.0|+25.0|1017.0|65|8.7|160.0|1512885600|2148928|1900-01-01T00:00:00Z|0
ROK|-23.38,150.5|2017-12-10T17:43:25Z|Rockhampton|Rain|light rain|+29.0|+29.0|+29.0|1013.0|51|5.1|80.0|1512885600|2151437|1900-01-01T00:00:00Z|0
DRW|-12.46,130.84|2017-12-10T17:43:25Z|Darwin|Clouds|few clouds|+34.0|+34.0|+34.0|1007.0|59|5.1|330.0|1512883800|2073124|1900-01-01T00:00:00Z|0
CFS|-30.3,153.13|2017-12-10T17:43:25Z|Coffs Harbour|Clouds|few clouds|+24.0|+24.0|+24.0|1020.0|64|5.1|150.0|1512883800|2171085|1900-01-01T00:00:00Z|0
GET|-28.77,114.6|2017-12-10T17:43:25Z|Geraldton|Clouds|overcast clouds|+32.0|+32.0|+32.0|1007.0|35|5.1|190.0|1512885000|2070998|1900-01-01T00:00:00Z|0
MEL|-37.81,144.96|2017-12-10T17:43:25Z|Melbourne|Clear|clear sky|+21.98|+21.0|+23.0|1021.0|56|6.7|180.0|1512885600|2158177|1900-01-01T00:00:00Z|0
TWB|-27.55,151.97|2017-12-10T17:43:25Z|Toowoomba|Clouds|broken clouds|+27.0|+27.0|+27.0|1017.0|39|6.2|90.0|1512882000|2146268|1900-01-01T00:00:00Z|0
MKY|-21.15,149.2|2017-12-10T17:43:25Z|Mackay|Clouds|scattered clouds|+29.0|+29.0|+29.0|1013.0|62|6.7|120.0|1512882000|2159220|1900-01-01T00:00:00Z|0
TGN|-38.18,146.53|2017-12-10T17:43:25Z|Traralgon|Clear|clear sky|+22.11|+22.11|+22.11|1016.73|54|2.16|250.0|1512887381|2146108|1900-01-01T00:00:00Z|0
CES|-32.83,151.35|2017-12-10T17:43:25Z|Cessnock|Clear|clear sky|+24.0|+24.0|+24.0|1020.0|53|6.7|110.0|1512885600|2171845|1900-01-01T00:00:00Z|0
TRO|-31.9,152.47|2017-12-10T17:43:25Z|Taree|Clear|clear sky|+24.0|+24.0|+24.0|1020.0|57|5.1|110.0|1512885600|2147381|1900-01-01T00:00:00Z|0
TSV|-19.25,146.8|2017-12-10T17:43:25Z|Townsville|Clear|clear sky|+30.0|+30.0|+30.0|1011.0|62|9.8|60.0|1512885600|2146142|1900-01-01T00:00:00Z|0
BHQ|-31.95,141.43|2017-12-10T17:43:25Z|Broken Hill|Clear|clear sky|+28.91|+28.91|+28.91|1002.05|35|5.21|153.0|1512887390|2173911|1900-01-01T00:00:00Z|0
NTL|-32.93,151.78|2017-12-10T17:43:25Z|Newcastle|Clear|clear sky|+24.0|+24.0|+24.0|1020.0|53|6.7|110.0|1512885600|2155472|1900-01-01T00:00:00Z|0
SHT|-36.38,145.4|2017-12-10T17:43:25Z|Shepparton|Clear|clear sky|+26.66|+26.66|+26.66|1016.64|52|2.91|242.5|1512887375|2149645|1900-01-01T00:00:00Z|0
GFF|-34.28,146.03|2017-12-10T17:43:25Z|Griffith|Clear|clear sky|+28.31|+28.31|+28.31|1017.94|43|3.91|223.0|1512887369|2164422|1900-01-01T00:00:00Z|0
LST|-41.45,147.17|2017-12-10T17:43:25Z|Launceston|Clear|clear sky|+23.0|+23.0|+23.0|1015.0|49|9.8|350.0|1512885600|2160517|1900-01-01T00:00:00Z|0
WGA|-35.12,147.37|2017-12-10T17:43:25Z|Wagga Wagga|Clear|clear sky|+29.0|+29.0|+29.0|1018.0|30|4.6|310.0|1512885600|2145110|1900-01-01T00:00:00Z|0
CUD|-26.8,153.13|2017-12-10T17:43:25Z|Caloundra|Rain|shower rain|+25.0|+25.0|+25.0|1016.0|61|6.7|110.0|1512885600|2172710|1900-01-01T00:00:00Z|0
MBH|-25.53,152.7|2017-12-10T17:43:25Z|Maryborough|Clouds|scattered clouds|+26.99|+26.99|+26.99|1009.02|54|2.66|124.0|1512887384|2158562|1900-01-01T00:00:00Z|0
WMB|-38.38,142.48|2017-12-10T17:43:25Z|Warrnambool|Clear|clear sky|+17.91|+17.91|+17.91|1034.88|86|5.06|234.0|1512887387|2144528|1900-01-01T00:00:00Z|0
